League,Team,Location,Stadium,Capacity,Lat,Long,Address
Premier League,AFC Bournemouth,Bournemouth,AFC Bournemouth,"11,464",50.7352267,-1.83830682154199,"AFC Bournemouth, Middleton Gardens, Littledown, Holdenhurst, Bournemouth, South West England, England, BH7 6JD, UK"
Premier League,Arsenal,London,Emirates Stadium,"60,432",51.55504035,-0.108399570867237,"Emirates Stadium, 75, Drayton Park, Finsbury Park, London Borough of Islington, London, Greater London, England, N5 1BU, UK"
Premier League,Burnley,Burnley,Turf Moor,"22,546",53.7889866,-2.23023461432665,"Turf Moor Football Ground (Burnley Football Club), Harry Potts Way, Fulledge, Burnley, Lancs, North West England, England, UK"
Premier League,Chelsea,London,Stamford Bridge,"41,623",51.4816865,-0.191963564421104,"Stamford Bridge, Hilary Close, Walham Green, London Borough of Hammersmith and Fulham, London, Greater London, England, SW6 2DU, UK"
Premier League,Crystal Palace,London,Selhurst Park,"26,309",51.3982724,-0.0854193186833424,"Selhurst Park, Park Road, South Norwood, London Borough of Croydon, London, Greater London, England, SE25 6JU, UK"
Premier League,Everton,Liverpool,Goodison Park,"40,569",53.4387191,-2.96645389390874,"Goodison Park, Goodison Road, Walton on the Hill, Liverpool, North West England, England, L4 4EL, UK"
Premier League,Hull City,Hull,KC Stadium,"25,404",53.74624785,-0.367735310827659,"KC Stadium, The Circle, The Dukeries, Avenues, Hull, Kingston upon Hull, Yorkshire and the Humber, England, HU3 6HU, UK"
Premier League,Leicester City,Leicester,King Power Stadium,"32,500",52.62039695,-1.14233510511527,"King Power Stadium, Filbert Way, West End, Leicester, East Midlands, England, LE2 7FL, UK"
Premier League,Liverpool,Liverpool,Anfield,"54,167",53.4308358,-2.96091679738659,"Anfield, Anfield Road, Walton on the Hill, Liverpool, North West England, England, L4 0TH, UK"
Premier League,Manchester City,Manchester,City of Manchester Stadium,"55,097",53.48315825,-2.20053414773414,"Etihad Stadium, Joe Mercer Way, Beswick, Manchester, Greater Manchester, North West England, England, M11 3FF, UK"
Premier League,Manchester United,Manchester,Old Trafford,"76,100",53.46310955,-2.29138638505454,"Old Trafford, Munich Tunnel, Wharfside, Trafford, Greater Manchester, North West England, England, M16 0RJ, UK"
Premier League,Middlesbrough,Middlesbrough,Riverside Stadium,"35,100",54.57835105,-1.21699221301082,"Riverside Stadium, The Leeway, Berwick Hills, Middlesbrough, North East England, England, TS3 6AT, UK"
Premier League,Southampton,Southampton,St Mary's Stadium,"32,689",50.90583665,-1.39088210560481,"St Mary's Stadium, Belvidere Road, Northam, Southampton, South East, England, SO14 5FP, UK"
Premier League,Stoke City,Stoke-on-Trent,Bet365 Stadium,"28,383",52.9883401,-2.17558978737148,"Britannia Stadium, Stanley Matthews Way, Blurton, Stoke-on-Trent, West Midlands, England, ST4 4EG, UK"
Premier League,Sunderland,Sunderland,Stadium of Light,"49,000",54.9144631,-1.38819343262025,"Stadium Of Light, Vaux Brewery Way, Millfield, Sunderland, Tyne and Wear, North East England, England, UK"
Premier League,Swansea City,Swansea,Liberty Stadium,"20,972",51.64300855,-3.93485269478247,"Liberty Stadium, A4067, Landore, Swansea, Wales, SA1 2FA, UK"
Premier League,Tottenham Hotspur,London,White Hart Lane,"36,274",51.6031593,-0.0657912300223674,"White Hart Lane, Park Lane, Tottenham, London Borough of Haringey, London, Greater London, England, N17 0JR, UK"
Premier League,Watford,Watford,Vicarage Road,"21,977",51.6501228,-0.4032104,"Vicarage Road, Watford Heath, Watford, Hertfordshire, East of England, England, UK"
Premier League,West Bromwich Albion,West Bromwich,The Hawthorns,"26,500",52.5055248,-1.9645449,"The Hawthorns, Moyses Croft, Smethwick, Sandwell, West Midlands, England, B66, UK"
Premier League,West Ham United,London,Olympic Stadium,"57,000",51.53865205,-0.0165021873020624,"The London Stadium, 3, Old Ford, London Borough of Tower Hamlets, London, Greater London, England, E20 2ST, UK"
Championship,Aston Villa,Birmingham,Villa Park,"42,682",52.5091264,-1.8850353312213,"Villa Park, Trinity Road, Jewellery Quarter, Aston, Birmingham, West Midlands, England, B6 6HE, UK"
Championship,Barnsley,Barnsley,Oakwell,"23,009",53.55214015,-1.46772533055814,"Oakwell, Grove Street, Oakwell, Kendray, Barnsley, Yorkshire and the Humber, England, S70, UK"
Championship,Birmingham City,Birmingham,St Andrew's,"30,016",52.4787049,-1.87919692306711,"St Andrews, Digbeth, Bordesley, Birmingham, West Midlands, England, B12, UK"
Championship,Blackburn Rovers,Blackburn,Ewood Park,"31,367",53.72861225,-2.48926708635566,"Ewood Park, Nuttall Street, Ewood, Oakdale, Blackburn with Darwen, North West England, England, BB2 4JF, UK"
Championship,Brentford,London,Griffin Park,"12,300",51.48808725,-0.302523929704623,"Griffin Park, Braemar Road, London Borough of Hounslow, London, Greater London, England, TW8 0NT, UK"
Championship,Brighton & Hove Albion,Brighton and Hove,AMEX Stadium,"30,750",50.8615394,-0.0836766637742433,"Falmer Stadium (The AMEX), Village Way, Woodingdean, Brighton and Hove, South East, England, BN1 9BL, UK"
Championship,Bristol City,Bristol,Ashton Gate,"27,000",51.44002945,-2.62031331086512,"Ashton Gate, Ashton Road, Ashton Gate, Bristol, City of Bristol, South West England, England, BS3 2EJ, UK"
Championship,Burton Albion,Burton,Pirelli Stadium,"6,912",52.8217955,-1.6268891411813,"Pirelli Stadium, A5121, Winshill, East Staffordshire, Staffordshire, West Midlands, England, DE4 2SX, UK"
Championship,Cardiff City,Cardiff,Cardiff City Stadium,"33,280",51.47284285,-3.20297400511367,"Cardiff City Stadium, Leckwith Road, Canton, Cardiff, Wales, CF11 8AZ, UK"
Championship,Derby County,Derby,iPro Stadium,"33,597",52.9149454,-1.44731900313353,"iPro Stadium, Derwent Parade, Pride Park, Derby, East Midlands, England, DE24 8HZ, UK"
Championship,Fulham,London,Craven Cottage,"25,700",51.4748554,-0.221593801819923,"Craven Cottage, Stevenage Road, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, SW6 6HH, UK"
Championship,Huddersfield Town,Huddersfield,John Smith's Stadium,"24,500",53.65434935,-1.76829978040519,"John Smith's Stadium, Stadium Way, Hillhouse, Kirklees, Yorkshire and the Humber, England, HD2 1YD, UK"
Championship,Ipswich Town,Ipswich,Portman Road,"30,311",52.056301,1.1460457,"Portman Road, Stoke, Ipswich, Suffolk, East of England, England, IP1 2EB, UK"
Championship,Leeds United,Leeds,Elland Road,"37,914",53.77827,-1.5683777,"Elland Road, Beeston, Leeds, Yorkshire and the Humber, England, LS11 0ES, UK"
Championship,Newcastle United,Newcastle,St James' Park,"52,354",54.97559195,-1.6219728063928,"St James' Park, Leazes Terrace, Grainger Town, Newcastle upon Tyne, Tyne and Wear, North East England, England, NE1 4LN, UK"
Championship,Norwich City,Norwich,Carrow Road,"27,244",52.6219745,1.3110048,"Carrow Road, Thorpe Hamlet, Norwich, Norfolk, East of England, England, NR1 1HU, UK"
Championship,Nottingham Forest,Nottingham,City Ground,"30,445",52.9399502,-1.13285823074934,"The City Ground, Trentside North, West Bridgford, Nottinghamshire, East Midlands, England, NG2 5FJ, UK"
Championship,Preston North End,Preston,Deepdale,"23,404",53.7722415,-2.6937738,"Deepdale, Preston, Lancs, North West England, England, UK"
Championship,Queens Park Rangers,London,Loftus Road,"18,439",51.5084077,-0.2304647,"Loftus Road, West Kensington Park, London Borough of Hammersmith and Fulham, London, Greater London, England, W12 7PA, UK"
Championship,Reading,Reading,Madejski Stadium,"24,161",51.42233465,-0.983123693539842,"Madejski Stadium, Biscuit Way, Whitley, Reading, South East, England, RG2 0FL, UK"
Championship,Rotherham United,Rotherham,New York Stadium,"12,021",53.4272216,-1.36248106836802,"New York Stadium, New York Way, Canklow, Rotherham, Yorkshire and the Humber, England, S60 1AH, UK"
Championship,Sheffield Wednesday,Sheffield,Hillsborough,"39,732",53.4113729,-1.50063474198622,"Hillsborough Stadium, Vere Road, Wadsley Bridge, Sheffield, Yorkshire and the Humber, England, S6 1SW, UK"
Championship,Wigan Athletic,Manchester,DW Stadium,"25,138",53.54765445,-2.65407602203459,"DW Stadium, Loire Drive, Newtown, Wigan, Greater Manchester, North West England, England, WN5 0UZ, UK"
Championship,Wolverhampton Wanderers,Wolverhampton,Molineux,"31,700",52.590281,-2.13040067947004,"Molineux Stadium, Waterloo Road, Heath Town, Wolverhampton, West Midlands, England, WV1 4QR, UK"
